reviewDate,score,interval,reviewTime,jpn,partOS,eng,category,agree
45460.61134,bad,-100,66,わすれました。。。,phrase,I forgot...,AA,yes
45460.61244,good,-100,7,わすれました。。。,phrase,I forgot...,AA,yes
45460.63675,good,1,5,わすれました。。。,phrase,I forgot...,AA,no
45461.66541,good,4,9,わすれました。。。,phrase,I forgot...,AA,yes
45460.63802,good,-100,16,どうですか。,phrase,How is that？,DL,yes
45460.64052,good,1,5,どうですか。,phrase,How is that？,DL,yes
45461.66384,good,4,10,どうですか。,phrase,How is that？,DL,no
45460.60101,bad,-100,71,どうでしたか。,phrase,How was it？,DL,yes
45460.60226,good,-100,9,どうでしたか。,phrase,How was it？,DL,yes
45460.61148,good,1,8,どうでしたか。,phrase,How was it？,DL,yes
45461.72006,bad,-100,19,どうでしたか。,phrase,How was it？,DL,yes
45461.72404,bad,-100,12,どうでしたか。,phrase,How was it？,DL,yes
45461.72508,good,1,7,どうでしたか。,phrase,How was it？,DL,no
45462.65117,good,4,7,どうでしたか。,phrase,How was it？,DL,yes
45460.60438,bad,-100,24,今日は何をしますか。,phrase,What will you do today？,DL,no
45460.60758,good,-100,17,今日は何をしますか。,phrase,What will you do today？,DL,yes
45460.61649,good,1,11,今日は何をしますか。,phrase,What will you do today？,DL,no
45461.72091,good,3,10,今日は何をしますか。,phrase,What will you do today？,DL,yes
45464.86058,good,9,6.3,今日は何をしますか。,phrase,What will you do today？,DL,yes
45460.60403,bad,-100,133,今何をしていますか。,phrase,What are you doing now?,DL,yes
45460.60738,bad,-100,12,今何をしていますか。,phrase,What are you doing now?,DL,no
45460.61029,good,-100,51,今何をしていますか。,phrase,What are you doing now?,DL,yes
45460.6364,bad,-100,18,今何をしていますか。,phrase,What are you doing now?,DL,yes
45460.6375,good,-100,7,今何をしていますか。,phrase,What are you doing now?,DL,yes
45460.64046,good,1,9,今何をしていますか。,phrase,What are you doing now?,DL,no
45461.71966,bad,-100,14,今何をしていますか。,phrase,What are you doing now?,DL,yes
45461.7239,good,1,18,今何をしていますか。,phrase,What are you doing now?,DL,yes
45462.65324,good,3,13,今何をしていますか。,phrase,What are you doing now?,DL,yes
45460.60784,bad,-100,22,何をしたいですか。,phrase,What do you want to do？,DL,yes
45460.6105,good,-100,18,何をしたいですか。,phrase,What do you want to do？,DL,yes
45460.63655,good,1,13,何をしたいですか。,phrase,What do you want to do？,DL,no
45461.7231,good,3,16,何をしたいですか。,phrase,What do you want to do？,DL,no
45464.85845,good,7,7.224,何をしたいですか。,phrase,What do you want to do？,DL,no
45460.6128,bad,-100,31,カラオケに行きませんか。,phrase,Why don't we go to karakoke？,DL,yes
45460.61391,good,-100,9,カラオケに行きませんか。,phrase,Why don't we go to karakoke？,DL,no
45460.63684,good,1,8,カラオケに行きませんか。,phrase,Why don't we go to karakoke？,DL,yes
45461.72068,good,3,9,カラオケに行きませんか。,phrase,Why don't we go to karakoke？,DL,yes
45464.86171,good,8,4.795,カラオケに行きませんか。,phrase,Why don't we go to karakoke？,DL,no
45460.60237,good,-100,10,いいですね。,phrase,Sounds good.,DL,yes
45460.61139,good,1,4,いいですね。,phrase,Sounds good.,DL,yes
45461.72138,good,4,6,いいですね。,phrase,Sounds good.,DL,yes
45460.6376,good,-100,9,はずかしいです。,phrase,It's embarassing.,AC,yes
45460.64036,good,1,6,はずかしいです。,phrase,It's embarassing.,AC,yes
45461.71862,good,4,3,はずかしいです。,phrase,It's embarassing.,AC,yes
45460.60207,bad,-100,92,いそがしいです。,phrase,It's busy.,AC,no
45460.6041,good,-100,6,いそがしいです。,phrase,It's busy.,AC,no
45460.61171,bad,-100,13,いそがしいです。,phrase,It's busy.,AC,yes
45460.61292,good,-100,10,いそがしいです。,phrase,It's busy.,AC,yes
45460.63669,good,1,12,いそがしいです。,phrase,It's busy.,AC,yes
